Ligand,PDB,Error
LSK,7ppq,Size mismatch: SMILES=47 vs 3D=82
LSK,7ppq,GRAPH_FULL skipped: size>80
LSK,7ppq,Size mismatch: SMILES=47 vs 3D=82
LSK,7ppq,GRAPH_FULL skipped: size>80
M2M,5is9,Size mismatch: SMILES=9 vs 3D=23
M2M,5isa,Size mismatch: SMILES=9 vs 3D=23
M2M,5isb,Size mismatch: SMILES=9 vs 3D=23
M2M,5isc,Size mismatch: SMILES=9 vs 3D=23
M2M,5isd,Size mismatch: SMILES=9 vs 3D=23
M2M,5isf,Size mismatch: SMILES=9 vs 3D=23
M2M,5isf,Size mismatch: SMILES=9 vs 3D=23
M2M,5isg,Size mismatch: SMILES=9 vs 3D=23
M2M,5ish,Size mismatch: SMILES=9 vs 3D=23
M2M,5k8x,Size mismatch: SMILES=9 vs 3D=23
M2M,5lv2,Size mismatch: SMILES=9 vs 3D=23
M2M,5lv2,Size mismatch: SMILES=9 vs 3D=23
M2M,5ntc,Size mismatch: SMILES=9 vs 3D=23
M2M,5tbh,Size mismatch: SMILES=9 vs 3D=23
P15,6dvr,Size mismatch: SMILES=20 vs 3D=19
P15,6dvr,Size mismatch: SMILES=20 vs 3D=14
P33,5lkj,Size mismatch: SMILES=22 vs 3D=52
PE8,5ih3,Size mismatch: SMILES=25 vs 3D=59
PE8,5ise,Size mismatch: SMILES=25 vs 3D=59
PE8,5k8x,Size mismatch: SMILES=25 vs 3D=59
PE8,5tbi,Size mismatch: SMILES=25 vs 3D=59
PG6,5isg,Size mismatch: SMILES=18 vs 3D=44
PG6,5k8v,Size mismatch: SMILES=18 vs 3D=44
PG6,5lgq,Size mismatch: SMILES=18 vs 3D=44
PG6,5lgr,Size mismatch: SMILES=18 vs 3D=44
PG6,5tbj,Size mismatch: SMILES=18 vs 3D=44
QVR,5lgr,Size mismatch: SMILES=20 vs 3D=34
QVR,5lgr,Size mismatch: SMILES=20 vs 3D=34
QVR,5lgr,Size mismatch: SMILES=20 vs 3D=34
QVR,5lgr,Size mismatch: SMILES=20 vs 3D=34
QVR,5lgs,Size mismatch: SMILES=20 vs 3D=34
QVR,5lgs,Size mismatch: SMILES=20 vs 3D=34
QVR,5lgs,Size mismatch: SMILES=20 vs 3D=34
QVR,5lgs,Size mismatch: SMILES=20 vs 3D=34
QVR,7okp,Size mismatch: SMILES=20 vs 3D=34
QVR,7okp,Size mismatch: SMILES=20 vs 3D=34
QVR,7okp,Size mismatch: SMILES=20 vs 3D=34
QVR,7okp,Size mismatch: SMILES=20 vs 3D=34
QVR,7qph,Size mismatch: SMILES=20 vs 3D=34
QVR,7qph,Size mismatch: SMILES=20 vs 3D=34
QVR,7qph,Size mismatch: SMILES=20 vs 3D=34
QVR,7qph,Size mismatch: SMILES=20 vs 3D=34
QVR,7qrd,Size mismatch: SMILES=20 vs 3D=34
QVR,7qrd,Size mismatch: SMILES=20 vs 3D=34
SAH,5ih3,Size mismatch: SMILES=26 vs 3D=46
SAH,5ih3,Size mismatch: SMILES=26 vs 3D=46
SAH,5ih3,Size mismatch: SMILES=26 vs 3D=46
SAH,5ih3,Size mismatch: SMILES=26 vs 3D=46
SAH,5is8,Size mismatch: SMILES=26 vs 3D=46
SAH,5lv3,Size mismatch: SMILES=26 vs 3D=45
SAH,5lv3,Size mismatch: SMILES=26 vs 3D=45
SAH,7qrd,Size mismatch: SMILES=26 vs 3D=45
SAH,7qrd,Size mismatch: SMILES=26 vs 3D=45
SAO,5isc,Size mismatch: SMILES=26 vs 3D=46
SAO,5isc,Size mismatch: SMILES=26 vs 3D=46
SAO,5isd,Size mismatch: SMILES=26 vs 3D=46
SAO,5isd,Size mismatch: SMILES=26 vs 3D=46
SAO,5isd,Size mismatch: SMILES=26 vs 3D=46
SAO,5isf,Size mismatch: SMILES=26 vs 3D=46
SAO,5lv2,Size mismatch: SMILES=26 vs 3D=46
SAO,5lv2,Size mismatch: SMILES=26 vs 3D=46
SAO,5lv2,Size mismatch: SMILES=26 vs 3D=46
SAO,5lv2,Size mismatch: SMILES=26 vs 3D=46
SAO,5tbh,Size mismatch: SMILES=26 vs 3D=46
SAO,5tbh,Size mismatch: SMILES=26 vs 3D=46
SAO,5tbi,Size mismatch: SMILES=26 vs 3D=46
SAO,5tbi,Size mismatch: SMILES=26 vs 3D=46
SFG,5is6,Size mismatch: SMILES=27 vs 3D=50
SFG,5is6,Size mismatch: SMILES=27 vs 3D=50
SFG,5is6,Size mismatch: SMILES=27 vs 3D=50
SFG,5is6,Size mismatch: SMILES=27 vs 3D=50
X9L,8uqh,Size mismatch: SMILES=30 vs 3D=60
X9L,8uqh,Size mismatch: SMILES=30 vs 3D=60
X9L,8uqh,Size mismatch: SMILES=30 vs 3D=60
X9L,8uqh,Size mismatch: SMILES=30 vs 3D=60
YVU,8g2h,Size mismatch: SMILES=32 vs 3D=37
