Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
XEK,Mpro,9cdm,A,401,9cdm_A_XEK_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=58
YV7,Mpro,7max,A,401,7max_A_YV7_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=75
YV7,Mpro,7max,B,401,7max_B_YV7_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=75
YVA,Mpro,7maw,A,401,7maw_A_YVA_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=70
YVA,Mpro,7maw,B,401,7maw_B_YVA_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=70
YVD,Mpro,7maz,A,401,7maz_A_YVD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=150; GRAPH_FULL skipped: size>80
YVD,Mpro,7maz,B,401,7maz_B_YVD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=75
YVG,Mpro,7mb0,A,401,7mb0_A_YVG_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=74
YVG,Mpro,7mb0,B,401,7mb0_B_YVG_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=74
YVJ,Mpro,7mb1,A,401,7mb1_A_YVJ_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=75
YVJ,Mpro,7mb1,B,401,7mb1_B_YVJ_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=75
YVM,Mpro,7mb2,A,401,7mb2_A_YVM_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=47 vs 3D=89; GRAPH_FULL skipped: size>80
YVM,Mpro,7mb2,B,401,7mb2_B_YVM_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=47 vs 3D=89; GRAPH_FULL skipped: size>80
YVP,Mpro,7mau,A,403,7mau_A_YVP_403,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=43 vs 3D=79
YVP,Mpro,7mau,B,503,7mau_B_YVP_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=43 vs 3D=79
YVV,Mpro,7mb3,A,401,7mb3_A_YVV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=89; GRAPH_FULL skipped: size>80
YVV,Mpro,7mb3,B,401,7mb3_B_YVV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=89; GRAPH_FULL skipped: size>80
YVV,Mpro,7mb3,C,401,7mb3_C_YVV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=89; GRAPH_FULL skipped: size>80
YVV,Mpro,7mb3,D,401,7mb3_D_YVV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=89; GRAPH_FULL skipped: size>80
YVV,Mpro,7mb3,E,401,7mb3_E_YVV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=89; GRAPH_FULL skipped: size>80
YVV,Mpro,7mb3,F,401,7mb3_F_YVV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=89; GRAPH_FULL skipped: size>80
YVY,Mpro,7mav,A,401,7mav_A_YVY_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=42 vs 3D=78
YVY,Mpro,7mav,B,401,7mav_B_YVY_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=42 vs 3D=78
ZL7,Mpro,7mng,A,401,7mng_A_ZL7_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=72
