Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
DYRK1A,RJZ,Cc1nc2ccc(nc2n1CCOc3cccc(n3)Br)c4cc(nc(c4)N)N,DYRK1A_SCAF_30,c1ccc(OCCn2cnc3ccc(-c4ccncc4)nc32)nc1,be483996
DYRK1A,IWU,c1c(cnc2c1nn[nH]2)Br,DYRK1A_SCAF_58,c1cnc2[nH]nnc2c1,1c0f414c
DYRK1A,KQZ,CN(C)c1nccc(n1)c2c[nH]c3c2cccn3,DYRK1A_SCAF_46,c1cnc2[nH]cc(-c3ccncn3)c2c1,f0da2bd2
DYRK1A,RHT,Cn1cnc2c1cc(cc2)c3cc(nc(c3)N)N,DYRK1A_SCAF_59,c1cc(-c2ccc3nc[nH]c3c2)ccn1,eaa5630b
DYRK1A,4E2,c1cc2c3c(c4cc(ccc4nc3C(=O)O)I)[nH]c2c(c1)Cl,DYRK1A_SCAF_37,c1ccc2c(c1)ncc1c3ccccc3[nH]c21,91efa426
DYRK1A,A1IFJ,c1ccc(cc1)CNc2nc3ccoc3c(n2)Nc4cc([nH]n4)C5CC5,DYRK1A_SCAF_60,c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3occc3n2)cc1,43915ea9
DYRK1A,RK5,Cc1c(oc2c1cc(cc2)c3cc(nc(c3)N)N)C,DYRK1A_SCAF_25,c1cc(-c2ccc3occc3c2)ccn1,1667eb9c
DYRK1A,KRK,c1cc2c(cnn2nc1)c3ccnc(n3)N4CC[C@@H](C4)F,DYRK1A_SCAF_61,c1cnn2ncc(-c3ccnc(N4CCCC4)n3)c2c1,f817017f
DYRK1A,RKW,CNCC(=O)Nc1cc(cc(n1)N)c2ccc3c(c2)cco3,DYRK1A_SCAF_25,c1cc(-c2ccc3occc3c2)ccn1,1667eb9c
DYRK1A,R05,Cc1nc2c(c(c[nH]2)c3ccnc(c3)N)c(n1)NCc4c(cccc4F)F,DYRK1A_SCAF_62,c1ccc(CNc2ncnc3[nH]cc(-c4ccncc4)c23)cc1,5e969833
DYRK1A,RJ5,COc1ccc(cc1)c2ccnc(c2)N,DYRK1A_SCAF_5,c1ccc(-c2ccncc2)cc1,0674939e
DYRK1A,QYK,Cn1c2c(c(c1Br)C#N)c(ncn2)N,DYRK1A_SCAF_63,c1ncc2cc[nH]c2n1,cf613857
DYRK1A,KQW,CN(c1nccc(n1)c2cnn3c2cccn3)C4CC4,DYRK1A_SCAF_64,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,d14b7a97
