Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
Mpro,Mpro_SCAF_71,c1ccc2c(c1)[nH]c1ccccc12,c1ccc2c(c1)[nH]c1ccccc12,Polycyclic_Hetero,1.3726393759001935e-15,-5.853903220750825e-16,-0.027459946190267537,1,1,0.002840909090909091
Mpro,Mpro_SCAF_72,O=C1Cc2cccc(C(=O)OCc3ccccc3)c2N1,O=C1Cc2cccc(C(=O)OCc3ccccc3)c2N1,Polycyclic_Hetero,1.15732339536683e-14,-4.898438557134024e-15,9.739683806938874e-16,1,1,0.002840909090909091
Mpro,Mpro_SCAF_73,O=C(C[C@H](c1ccsc1)N1CCCCC1)Nc1cccnc1,O=C(C[C@H](c1ccsc1)N1CCCCC1)Nc1cccnc1,Polycyclic_Hetero,-1.2248600067027308e-13,8.177438054866967e-14,0.13126799168918626,1,1,0.002840909090909091
Mpro,Mpro_SCAF_74,O=C(Nc1nncn1-c1ccccc1)[C@@H]1COc2ccccc21,O=C(Nc1nncn1-c1ccccc1)[C@@H]1COc2ccccc21,Polycyclic_Hetero,6.121229649284646e-16,9.013810718848569e-15,-0.02295794196652543,1,1,0.002840909090909091
Mpro,Mpro_SCAF_75,O=C(Nc1nncn1C1CC1)C1CCOc2ccccc21,O=C(Nc1nncn1C1CC1)C1CCOc2ccccc21,Polycyclic_Hetero,1.2902591907805873e-14,-3.600723323108616e-17,-6.913388780368543e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_76,O=C1Cc2ccccc2N1Cc1ccccc1,O=C1Cc2ccccc2N1Cc1ccccc1,Polycyclic_Hetero,-6.912988699999308e-15,-2.786659791809143e-15,0.08153770719487939,1,2,0.005681818181818182
Mpro,Mpro_SCAF_77,O=C(Cc1cccnc1)Nc1cccc2c1CNCC2,O=C(Cc1cccnc1)Nc1cccc2c1CNCC2,Polycyclic_Hetero,-1.1731876731352492e-12,1.7617829117499684e-12,-0.05514579550693145,1,1,0.002840909090909091
Mpro,Mpro_SCAF_78,O=C(Cc1ccccc1)Nc1nnc[nH]1,O=C(Cc1ccccc1)Nc1nnc[nH]1,Bicyclic_Hetero,-2.206235194535111e-14,-9.947598300641404e-16,-0.08647451539195875,1,1,0.002840909090909091
Mpro,Mpro_SCAF_79,O=C(Nc1cccnc1)C1CC1,O=C(Nc1cccnc1)C1CC1,Bicyclic_Hetero,3.552713678800501e-15,1.9479367613877748e-15,-0.027459946190267762,1,1,0.002840909090909091
Mpro,Mpro_SCAF_8,c1ccc2c(c1)CCCN2,c1ccc2c(c1)CCCN2,Bicyclic_Hetero,2.1041369704800586e-15,-2.453064206790822e-15,3.469446951953614e-16,1,1,0.002840909090909091
Mpro,Mpro_SCAF_80,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,Polycyclic_Hetero,2.149290846308428e-14,-9.285501660501309e-16,-0.2134436980523075,1,2,0.005681818181818182
Mpro,Mpro_SCAF_81,O=C(CN1CCNCC1)Nc1cccnc1,O=C(CN1CCNCC1)Nc1cccnc1,Bicyclic_Hetero,6.938893903907228e-15,0.0,0.09698260372107356,1,1,0.002840909090909091
Mpro,Mpro_SCAF_82,O=C(Cc1ccccc1)Nc1cccc2[nH]ncc12,O=C(Cc1ccccc1)Nc1cccc2[nH]ncc12,Polycyclic_Hetero,2.854660952067434e-14,2.0837498393433407e-14,-0.16047363594798522,1,1,0.002840909090909091
Mpro,Mpro_SCAF_83,c1ccc(CCCn2cncn2)cc1,c1ccc(CCCn2cncn2)cc1,Bicyclic_Hetero,-5.148145284558134e-15,-0.0448379083436732,-3.676071792647741e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_84,O=C(CN1CCCCC1)Nc1cccnc1,O=C(CN1CCCCC1)Nc1cccnc1,Bicyclic_Hetero,-2.2810036687753218e-14,-9.39315965076799e-14,0.09337658271626847,1,3,0.008522727272727272
Mpro,Mpro_SCAF_85,O=C(Cc1ccccc1)Nc1cncc2c1CCCC2,O=C(Cc1ccccc1)Nc1cncc2c1CCCC2,Polycyclic_Hetero,-6.817938027013855e-14,3.3536039442525947e-14,0.05704040061114681,1,1,0.002840909090909091
Mpro,Mpro_SCAF_86,O=C(Cc1ccccc1)Nc1cnc2ccccn12,O=C(Cc1ccccc1)Nc1cnc2ccccn12,Polycyclic_Hetero,-3.733124920302089e-14,8.72565908416334e-16,1.3461454173580023e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_87,O=C(Cn1nnc2ccccc21)NCc1ccccc1,O=C(Cn1nnc2ccccc21)NCc1ccccc1,Polycyclic_Hetero,5.21151749206397e-15,-4.049048678044688e-15,0.0635198716884961,1,1,0.002840909090909091
Mpro,Mpro_SCAF_88,O=C(Cc1ccccc1)Nc1cnc[nH]1,O=C(Cc1ccccc1)Nc1cnc[nH]1,Bicyclic_Hetero,6.490534605500915e-16,-1.6482541827127325e-15,0.015641578810101267,1,1,0.002840909090909091
Mpro,Mpro_SCAF_89,O=c1n(-c2ccccc2)ccn1-c1cccnc1,O=c1n(-c2ccccc2)ccn1-c1cccnc1,Polycyclic_Hetero,-2.7870426273348756e-15,-2.2970131543968757e-15,-0.060058621681380715,1,1,0.002840909090909091
Mpro,Mpro_SCAF_9,c1ccc(NCc2cccnc2)cc1,c1ccc(NCc2cccnc2)cc1,Bicyclic_Hetero,-1.106806953780156e-14,1.5201515260252143e-15,0.023291505787435458,1,1,0.002840909090909091
