protein,pdb,chain,ligand,MW,Name
HER2,9mwr,C,GD,157.25,GADOLINIUM ATOM
HER2,9mwr,D,GD,157.25,GADOLINIUM ATOM
HER2,9mwt,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwt,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwt,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwt,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwt,A,A1BT6,427.498,N-[3-({[2-(3-{[(Z)-(furan-2-yl)(imino)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]furan-2-carboximidamide
HER2,9mwt,B,A1BT6,427.498,N-[3-({[2-(3-{[(Z)-(furan-2-yl)(imino)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]furan-2-carboximidamide
HER2,9mwt,C,A1BT6,427.498,N-[3-({[2-(3-{[(Z)-(furan-2-yl)(imino)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]furan-2-carboximidamide
HER2,9mwt,D,A1BT6,427.498,N-[3-({[2-(3-{[(Z)-(furan-2-yl)(imino)methyl]amino}phenyl)ethyl]amino}methyl)phenyl]furan-2-carboximidamide
HER2,9mwt,A,GD,157.25,GADOLINIUM ATOM
HER2,9mwt,B,GD,157.25,GADOLINIUM ATOM
HER2,9mwt,C,GD,157.25,GADOLINIUM ATOM
HER2,9mwt,D,GD,157.25,GADOLINIUM ATOM
HER2,9mwu,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwu,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwu,A,A1BT2,424.537,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}furan-2-carboximidamide"
HER2,9mwu,B,A1BT2,424.537,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}furan-2-carboximidamide"
HER2,9mwu,A,GD,157.25,GADOLINIUM ATOM
HER2,9mwu,B,GD,157.25,GADOLINIUM ATOM
HER2,9mwv,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwv,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwv,C,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwv,D,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,9mwv,A,A1BT9,440.603,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}thiophene-2-carboximidamide"
HER2,9mwv,B,A1BT9,440.603,"N-{3-[({2-[3-(aminomethyl)[1,1'-biphenyl]-4-yl]ethyl}amino)methyl]phenyl}thiophene-2-carboximidamide"
