Warhead,SMILES
2LI,['CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CN[C@]2(CCc3c(cn[nH]3)C2)c4cccc(c4)C(C)(C)C)O']
2X4,['c1cc2c(cc1c3cc(cnc3)Cl)[C@@]4(COC(=N4)N)[C@@H]5CCOC[C@H]5O2']
2X5,['c1cc2c(cc1c3cc(cnc3)Cl)[C@@]4(COC(=N4)N)[C@H]5CCOC[C@@H]5O2']
310,['[H]/N=C(\\N)/NC(=O)Cn1c(ccc1c2ccccc2Cl)c3ccc(cc3)Oc4ccc(cc4)C(=O)C']
314,['CCCN(CCC)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc2cc(cc(c2)F)F)[C@@H]([C@H]3C[C@H](CCN3)Cc4ccccc4)O)C']
316,['CCCN(CCC)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc2cc(cc(c2)F)F)[C@@H]([C@H]3C(=O)N(CCN3)Cc4ccccc4)O)C']
318,['CCCN(CCC)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc2cc(cc(c2)F)F)[C@@H]([C@H]3C(=O)N(CN3)Cc4ccccc4)O)C']
32D,['c1cc(cc(c1)[C@@]2(c3cccc(c3C(=N2)N)F)c4ccnc(c4)C(F)F)c5cncnc5']
32P,['C[C@H](c1ccc(cc1)F)NC(=O)c2cc(cc(c2)OS(=O)(=O)Cc3ccccc3)OCC(=O)NCCCCCN']
35A,['C[C@@H]1CCc2cccc(c2)C[C@@](C(=O)OCc3cc(nc(c3)[N@](C)S(=O)(=O)C)CC1)(C)N']
3BN,['CN(c1cc(cc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@@H](CNC3CC3)O)C(=O)c4ccccc4)S(=O)(=O)C']
3J9,['C[C@]12CCCO[C@@H]1[C@]3(COC(=N3)N)c4cc(ccc4O2)c5cccnc5F']
3KO,['[H]/N=C/1\\N[C@](C(=O)N1C)(CCC2CCCCC2)C[C@H]3CCN(C3)C(=O)CC4CCCC4']
3KT,['[H]/N=C/1\\N[C@](C(=O)N1C)(CCC2CCCCC2)C[C@H]3CCC[C@H](C3)NC4CCCC4']
3KU,['[H]/N=C/1\\N[C@](C(=O)N1C)(CCC2CCCCC2)C[C@H]3CCC[C@H](C3)NC(=O)c4ccncc4']
3KW,['[H]/N=C/1\\N[C@](C(=O)N1C)(CCC2CCCCC2)C[C@H]3CCC[C@H](C3)Nc4ccc5ccccc5n4']
3LL,['CC1(COC1)C#Cc2cc3c(nc2)Oc4ccc(cc4[C@@]35COC(=N5)N)c6cccnc6F']
3LN,['CC(C)(C)COc1ccc2c(c1)[C@]3(COC(=N3)N)c4cc(ccc4O2)c5cncnc5']
3LO,['c1cc(c(nc1)F)c2ccc3c(c2)[C@@]4(COC(=N4)N)c5cc(cc(c5O3)F)C6=CCOCC6']
3MR,['CN(C1CCCCC1)C(=O)CC[C@@H](C2CCCCC2)N3Cc4cc(ccc4N=C3N)Oc5ccccc5']
3P5,['c1cc(cc(c1)C2CC2)CN[C@H]3CS(=O)(=O)C[C@H]([C@@H]3O)Cc4ccc(c(c4)Br)O']
3RS,['Cc1ccccc1c2ccc3c(c2)cc(c(n3)N)C[C@@H](C)C(=O)N[C@@H]4CCOC(C4)(C)C']
3RU,['c1ccc2c(c1)cc(c(n2)N)CCC(=O)NCC3CCCCC3']
3TO,['C[N@@](Cc1cccc(c1)CCc2cccnc2N)Cc3ccco3']
3UT,['c1cc(c(nc1)F)c2ccc3c(c2)[C@@]4(COC(=N4)N)c5cc(nc(c5O3)F)C6=CCCOC6']
3UW,['CN1C(=O)[C@@]2(c3cc(ccc3O[C@@H]4[C@@H]2OCCC4)c5cccnc5F)N=C1N']
3UX,['C[C@@]12CCCO[C@H]1[C@@]3(c4cc(ccc4O2)c5cccnc5F)C(=O)N(C(=N3)N)C']
3UY,['C[C@@]12CCCO[C@H]1[C@]3(COC(=N3)N)c4cc(ccc4O2)c5cccnc5F']
3VO,['c1cc(c(cc1F)F)[C@]23COCC[C@H]2CSC(=N3)N']
3VP,['c1cc(c(cc1F)F)[C@]23CO[C@H](C[C@H]2CSC(=N3)N)CF']
3WP,['C[C@]1(CCSC(=N1)N)c2ccc(cc2F)F']
3YS,['c1cc(c(cc1NC(=O)c2ccc(cn2)F)[C@]34COC[C@H]3CSC(=N4)N)F']
411,['[H]/N=C(\\N)/NC(=O)Cn1c(ccc1c2ccc(cc2)NC(=O)c3cccc(c3)Br)c4ccccc4']
43K,['c1cc(c(nc1)F)c2ccc3c(c2)[C@@]4(COC(=N4)N)c5cc(ncc5O3)c6ccnc(c6)F']
454,['c1ccc(cc1)C2(C3=NCCCN3C(=N2)N)c4ccccc4']
462,['[H]/N=C(\\N)/NC(=O)Cc1c(csc1c2ccccc2Cl)c3ccc(cc3)OCCC']
472,['CN1C(=O)[C@@](N=C1N)(c2ccncc2)c3cccc(c3)c4cccnc4']
4B2,['C[C@]1(CCSC(=N1)N)c2cc(c(cc2F)F)c3cncnc3']
4FP,['c1cc(ccc1CC2CCNCC2)F']
4QA,['CC(C)Oc1cccc(c1)CN2CCC3(CC2)C(=NC(=O)N3c4cccc(c4)F)NC5CCCCC5']
4QD,['C[C@@H](CN)Oc1cccc(c1)CN2CCC3(CC2)C(=NC(=O)N3c4cccc(c4)F)NC5CCCCC5']
4QF,['C[C@H]1C[C@]2(CCN1Cc3ccccc3)C(=NC(=O)N2c4cccc(c4)F)NC5CCCCC5']
4RW,['C1CC[C@@H]2[C@H](C1)CSC(=N2)N']
4RX,['c1cc(cc(c1)Cl)C(=O)N[C@H]2CC[C@]34COC[C@H]([C@H]3C2)SC(=N4)N']
4RY,['c1cc(cc(c1)Cl)C(=O)N[C@H]2CC[C@]34COC[C@@]3(C2)CSC(=N4)N']
4RZ,['c1cc(cc(c1)Cl)C(=O)N[C@H]2CC[C@@H]3[C@H](C2)CSC(=N3)N']
508,['c1ccc(cc1)[C@@H]2CCN([C@@H](C2)c3ccccc3)C(=O)[C@@H]4CNC[C@]45CCCc6c5cccc6']
52K,['C[C@]1(COCC(=N1)N)c2cccc(c2)NC(=O)c3ccc(cn3)Cl']
532,['CN1C(=O)[C@](N=C1N)(c2cccc(c2)c3cccnc3)c4ccsc4']
54M,['COc1ccc(cc1)[C@]2(CCC(=N2)N)c3cccc(c3)c4cncnc4']
