protein,pdb,chain,ligand,MW,Name
DYRK1A,7o7k,A,6ZV,506.593,N-{5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl}-5-fluoro-4-[4-fluoro-2-methyl-1-(propan-2-yl)-1H-benzimidazol-6-yl]py rimidin-2-amine
DYRK1A,7o7k,B,6ZV,506.593,N-{5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl}-5-fluoro-4-[4-fluoro-2-methyl-1-(propan-2-yl)-1H-benzimidazol-6-yl]py rimidin-2-amine
DYRK1A,7o7k,A,LI,6.941,LITHIUM ION
DYRK1A,7o7k,B,LI,6.941,LITHIUM ION
DYRK1A,8t2h,A,XIR,417.482,"(4P)-4-{(3M)-3-[3-fluoro-4-(4-methylpiperazin-1-yl)phenyl]-2-methyl-3H-imidazo[4,5-b]pyridin-5-yl}pyridin-2-amine"
DYRK1A,8t2h,B,XIR,417.482,"(4P)-4-{(3M)-3-[3-fluoro-4-(4-methylpiperazin-1-yl)phenyl]-2-methyl-3H-imidazo[4,5-b]pyridin-5-yl}pyridin-2-amine"
DYRK1A,8r8e,A,YOX,336.171,2-cyclopentyl-7-iodanyl-1~{H}-indole-3-carbonitrile
DYRK1A,8r8e,B,YOX,336.171,2-cyclopentyl-7-iodanyl-1~{H}-indole-3-carbonitrile
DYRK1A,8r8e,C,YOX,336.171,2-cyclopentyl-7-iodanyl-1~{H}-indole-3-carbonitrile
DYRK1A,8r8e,D,YOX,336.171,2-cyclopentyl-7-iodanyl-1~{H}-indole-3-carbonitrile
DYRK1A,8c3g,A,QS0,429.517,"N-[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]-4-(1-methylpyrrolo[2,3-c]pyridin-3-yl)pyrimidin-2-amine"
DYRK1A,8c3g,B,QS0,429.517,"N-[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]-4-(1-methylpyrrolo[2,3-c]pyridin-3-yl)pyrimidin-2-amine"
DYRK1A,8c3g,C,QS0,429.517,"N-[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]-4-(1-methylpyrrolo[2,3-c]pyridin-3-yl)pyrimidin-2-amine"
DYRK1A,8c3g,D,QS0,429.517,"N-[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]-4-(1-methylpyrrolo[2,3-c]pyridin-3-yl)pyrimidin-2-amine"
DYRK1A,7oy6,C,39I,362.451,"~{N}4-(3-cyclopropyl-1~{H}-pyrazol-5-yl)-~{N}2-(phenylmethyl)thieno[3,2-d]pyrimidine-2,4-diamine"
DYRK1A,9cy5,A,A1A04,414.478,(4P)-4-{(4M)-4-[3-fluoro-4-(4-methylpiperazin-1-yl)phenyl]quinazolin-6-yl}pyridin-2-amine
DYRK1A,9cy5,B,A1A04,414.478,(4P)-4-{(4M)-4-[3-fluoro-4-(4-methylpiperazin-1-yl)phenyl]quinazolin-6-yl}pyridin-2-amine
