Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
Acetylcholinesterase,E1N,CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4[n+]3C)Cl)N)[C@@H](C2)C1,Acetylcholinesterase_SCAF_60,C1=C[C@@H]2Cc3[nH+]c4ccccc4cc3[C@H](C1)C2,50a6cac0
Acetylcholinesterase,E0Z,COc1cc(ccc1O)CNC(=O)Cc2cn(nn2)CCNc3c4ccccc4nc5c3ccc(c5)Cl,Acetylcholinesterase_SCAF_61,O=C(Cc1cn(CCNc2c3ccccc3nc3ccccc23)nn1)NCc1ccccc1,ea65b2af
Acetylcholinesterase,ELT,CCOP(=O)(N(C)C)O,Acetylcholinesterase_SCAF_62,,767bdffd
Acetylcholinesterase,JDS,c1cc2c(cc1Cl)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)/C=N\O)O,Acetylcholinesterase_SCAF_58,c1ccc(CCCCNc2c3c(nc4ccccc24)CCCC3)nc1,860a1df8
Acetylcholinesterase,FJK,c1cc2c(c(c1)NC(=O)Nc3cc(ccn3)COCc4cn(nn4)CCNC5=C6C=CC=CC6=NC7C5CCCC7)[C@H]8CCCCN8C2=O,Acetylcholinesterase_SCAF_63,O=C(Nc1cc(COCc2cn(CCNC3=c4ccccc4=NC4CCCCC34)nn2)ccn1)Nc1cccc2c1[C@H]1CCCCN1C2=O,9d37dd6f
Acetylcholinesterase,FJN,C[NH+](Cc1ccnc(c1)NC(=O)Nc2cccc3c2[C@@H]4CCCCN4C3=O)Cc5cn(nn5)CCNC6=C7C=CC=CC7=NC8C6CCCC8,Acetylcholinesterase_SCAF_64,O=C(Nc1cc(C[NH2+]Cc2cn(CCNC3=c4ccccc4=NC4CCCCC34)nn2)ccn1)Nc1cccc2c1[C@@H]1CCCCN1C2=O,90163fac
Acetylcholinesterase,FW8,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCn4cc(nn4)c5ccnc(c5)NC(=O)Nc6cccc7c6[C@@H]8CCCCN8C7=O,Acetylcholinesterase_SCAF_65,O=C(Nc1cc(-c2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccn1)Nc1cccc2c1[C@@H]1CCCCN1C2=O,3adb0dd0
Acetylcholinesterase,8UH,CC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)NCCCCCC(=O)NCc5ccc(c(c5)OC)O)[C@@H](C2)C1,Acetylcholinesterase_SCAF_66,O=C(CCCCCNc1c2c(nc3ccccc13)C[C@H]1C=CC[C@@H]2C1)NCc1ccccc1,8d9484f7
Acetylcholinesterase,N9T,COc1cc2c(cc1OC)OC(=O)C(=C2)NC(=O)[C@@H]3CCC[C@@H](C3)NCc4ccccc4,Acetylcholinesterase_SCAF_67,O=C(Nc1cc2ccccc2oc1=O)[C@@H]1CCC[C@H](NCc2ccccc2)C1,5850c539
Acetylcholinesterase,8UK,CC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)NCCCCCCC(=O)NCc5ccc(c(c5)OC)O)[C@@H](C2)C1,Acetylcholinesterase_SCAF_68,O=C(CCCCCCNc1c2c(nc3ccccc13)C[C@H]1C=CC[C@@H]2C1)NCc1ccccc1,4ef333d7
Acetylcholinesterase,8UQ,CC1C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)NCCCCCCCC(=O)NCc5ccc(c(c5)OC)O)[C@@H](C2)C1,Acetylcholinesterase_SCAF_69,O=C(CCCCCCCNc1c2c(nc3ccccc13)C[C@H]1CCC[C@@H]2C1)NCc1ccccc1,f2f1a16e
Acetylcholinesterase,8UE,CC1=C[C@@H]2C[C@H](C1)Cc3c2c(c4ccc(cc4n3)Cl)NCc5ccc(cc5)CC(=O)NCc6ccc(c(c6)OC)O,Acetylcholinesterase_SCAF_70,O=C(Cc1ccc(CNc2c3c(nc4ccccc24)C[C@H]2CC=C[C@@H]3C2)cc1)NCc1ccccc1,7f05b3c8
Acetylcholinesterase,8U5,CC1C[C@@H]2CC(C1)Cc3c2c(c4ccc(cc4n3)Cl)NCCCCCCCCCC(=O)NCc5ccc(c(c5)OC)O,Acetylcholinesterase_SCAF_71,O=C(CCCCCCCCCNc1c2c(nc3ccccc13)CC1CCC[C@@H]2C1)NCc1ccccc1,2fc6b042
Acetylcholinesterase,8U2,COc1cc(ccc1O)CNC(=O)Cc2cn(nn2)CCCCC3CC4Cc5c(c(c6ccc(cc6n5)Cl)N)C(C4)C3,Acetylcholinesterase_SCAF_72,O=C(Cc1cn(CCCCC2CC3Cc4nc5ccccc5cc4C(C2)C3)nn1)NCc1ccccc1,8df29343
Acetylcholinesterase,FWN,CCOCCOCCOCCO,Acetylcholinesterase_SCAF_73,,af1f1eb6
