Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
BDV,BACE1,3l5d,B,455,3l5d_B_BDV_455,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=28
BDW,BACE1,3l5e,A,1,3l5e_A_BDW_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=39
BDW,BACE1,3l5e,B,455,3l5e_B_BDW_455,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=39
BDX,BACE1,3l5f,A,1,3l5f_A_BDX_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=23
BDX,BACE1,3l5f,B,1,3l5f_B_BDX_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=23
BXD,BACE1,4d89,A,501,4d89_A_BXD_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=43
DJV,BACE1,6bfe,A,401,6bfe_A_DJV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=61
DJV,BACE1,6bfe,B,401,6bfe_B_DJV_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=61
DKJ,BACE1,6bfx,A,401,6bfx_A_DKJ_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=61
DKJ,BACE1,6bfx,B,401,6bfx_B_DKJ_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=61
EJ7,BACE1,6c2i,A,407,6c2i_A_EJ7_407,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=45
EV2,BACE1,3hw1,B,393,3hw1_B_EV2_393,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=16 vs 3D=32
G00,BACE1,3kmx,A,501,3kmx_A_G00_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=18 vs 3D=17
G00,BACE1,3kmx,B,501,3kmx_B_G00_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=18 vs 3D=17
GHJ,BACE1,6dhc,A,401,6dhc_A_GHJ_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=42 vs 3D=93; GRAPH_FULL skipped: size>80
GHJ,BACE1,6dhc,B,401,6dhc_B_GHJ_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=42 vs 3D=93; GRAPH_FULL skipped: size>80
GHJ,BACE1,6dhc,C,401,6dhc_C_GHJ_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=42 vs 3D=93; GRAPH_FULL skipped: size>80
GMF,BACE1,4b0q,A,1385,4b0q_A_GMF_1385,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=26 vs 3D=25
L3M,BACE1,6nv9,A,401,6nv9_A_L3M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=44 vs 3D=96; GRAPH_FULL skipped: size>80
L3M,BACE1,6nv9,B,401,6nv9_B_L3M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=44 vs 3D=96; GRAPH_FULL skipped: size>80
L3M,BACE1,6nv9,C,401,6nv9_C_L3M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=44 vs 3D=96; GRAPH_FULL skipped: size>80
VSI,BACE1,4ivs,A,401,4ivs_A_VSI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=31
VTI,BACE1,4ivt,A,401,4ivt_A_VTI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
ZQS,BACE1,7myi,A,401,7myi_A_ZQS_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=26
ZQS,BACE1,7myi,B,401,7myi_B_ZQS_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=26
ZRD,BACE1,7myr,A,401,7myr_A_ZRD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=22 vs 3D=27
ZRD,BACE1,7myr,B,401,7myr_B_ZRD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=22 vs 3D=27
