Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
DXE,PRMT4,5k8x,B,505,5k8x_B_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8x,B,506,5k8x_B_DXE_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8x,C,507,5k8x_C_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8x,D,507,5k8x_D_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8x,C,508,5k8x_C_DXE_508,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5k8x,C,509,5k8x_C_DXE_509,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lgq,A,504,5lgq_A_DXE_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lgr,A,504,5lgr_A_DXE_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lgs,B,501,5lgs_B_DXE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lgs,A,502,5lgs_A_DXE_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lgs,D,502,5lgs_D_DXE_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lkj,A,506,5lkj_A_DXE_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lkj,B,506,5lkj_B_DXE_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lkj,A,507,5lkj_A_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lkj,B,507,5lkj_B_DXE_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lkj,A,508,5lkj_A_DXE_508,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5lv2,C,505,5lv2_C_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ntc,A,505,5ntc_A_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5ntc,C,505,5ntc_C_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
DXE,PRMT4,5tbj,A,505,5tbj_A_DXE_505,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=16
FTG,PRMT4,6d2l,C,501,6d2l_C_FTG_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=44 vs 3D=39
FTG,PRMT4,6d2l,E,2000,6d2l_E_FTG_2000,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=44 vs 3D=38
GJV,PRMT4,5k8w,A,501,5k8w_A_GJV_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=45
GJV,PRMT4,5k8w,B,501,5k8w_B_GJV_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=45
GJV,PRMT4,5k8w,C,501,5k8w_C_GJV_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=45
GJV,PRMT4,5k8w,D,501,5k8w_D_GJV_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=45
I0B,PRMT4,8g2i,A,501,8g2i_A_I0B_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=47 vs 3D=46
I1K,PRMT4,8sih,A,501,8sih_A_I1K_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=45 vs 3D=44
KXW,PRMT4,6s79,C,501,6s79_C_KXW_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=72
KXW,PRMT4,6s79,D,501,6s79_D_KXW_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=72
KY2,PRMT4,6s7c,A,501,6s7c_A_KY2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
KY2,PRMT4,6s7c,B,501,6s7c_B_KY2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
KY2,PRMT4,6s7c,C,501,6s7c_C_KY2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
KY2,PRMT4,6s7c,D,501,6s7c_D_KY2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
KY8,PRMT4,6s74,A,501,6s74_A_KY8_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=66
KY8,PRMT4,6s74,B,501,6s74_B_KY8_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=66
KYB,PRMT4,6s70,A,501,6s70_A_KYB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
KYB,PRMT4,6s70,B,501,6s70_B_KYB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
KYB,PRMT4,6s70,C,501,6s70_C_KYB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
KYB,PRMT4,6s70,D,501,6s70_D_KYB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
KYE,PRMT4,6s71,A,501,6s71_A_KYE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
KYE,PRMT4,6s71,B,501,6s71_B_KYE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
KYE,PRMT4,6s71,C,501,6s71_C_KYE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
KYE,PRMT4,6s71,D,501,6s71_D_KYE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
KYH,PRMT4,6s7b,A,501,6s7b_A_KYH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=31
KYH,PRMT4,6s7b,B,501,6s7b_B_KYH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=31
KYH,PRMT4,6s7b,C,501,6s7b_C_KYH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=31
KYH,PRMT4,6s7b,D,501,6s7b_D_KYH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=31
LHB,PRMT4,5lv2,B,501,5lv2_B_LHB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=54
LHB,PRMT4,5lv2,D,501,5lv2_D_LHB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=54
LHB,PRMT4,5lv2,F,501,5lv2_F_LHB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=54
LHB,PRMT4,5lv2,H,501,5lv2_H_LHB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=54
LHD,PRMT4,5tbj,A,501,5tbj_A_LHD_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=58
LHD,PRMT4,5tbj,B,501,5tbj_B_LHD_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=58
