protein,pdb,chain,ligand,MW,Name
CRBN,9saf,B,A1JM8,739.327,"~{N}-[(2~{S})-1-[[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]amino]-1-oxidanylidene-propan-2-yl]-9-[2-[(9~{S})-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.0^{2,6}]trideca-2(6),4,10,12-tetraen-9-yl]ethanoylamino]nonanamide"
CRBN,9q2d,B,85C,440.88,"1-(3-chloro-4-methylphenyl)-3-({2-[(3S)-2,6-dioxopiperidin-3-yl]-1-oxo-2,3-dihydro-1H-isoindol-5-yl}methyl)urea"
CRBN,9y7d,B,A1AF4,535.567,Golcadomide
CRBN,9ngt,B,A1BC8,292.314,"(3S)-3-[(4M)-4-(4-methoxythiophen-3-yl)-1H-1,2,3-triazol-1-yl]piperidine-2,6-dione"
CRBN,9ya9,C,A1CTU,628.124,"(3R)-3-(6-{[(3R,4R)-1-{5-chloro-4-[(1-methyl-2-oxo-2,3-dihydro-1H-indol-5-yl)amino]pyrimidin-2-yl}-3-methylpiperidin-4-yl]amino}-1-methyl-1H-indazol-3-yl)piperidine-2,6-dione"
CRBN,9sfm,B,LVY,259.261,S-Lenalidomide
CRBN,9sfm,B,A1CEG,360.366,N-[3-(benzyloxy)pyridin-2-yl]-N'-(4-cyano-2-hydroxyphenyl)urea
CRBN,9w2f,B,A1EUN,415.441,"(3S)-3-[6-[1-[(4-methoxyphenyl)methyl]pyrazol-4-yl]-1-benzofuran-3-yl]piperidine-2,6-dione"
CRBN,9e2u,B,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9e2u,D,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9e2u,F,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9e2u,H,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9e2u,J,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9e2u,L,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9e2u,N,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9e2u,P,RN9,494.927,"3-[3-[[1-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-2,5-bis(oxidanylidene)pyrrol-3-yl]amino]phenyl]-~{N}-(3-chloranyl-4-methyl-phenyl)propanamide"
CRBN,9q33,B,A1CN1,776.805,"N-({(4R)-7-[(1S)-2-amino-1-(4-bromo-2-methylphenyl)-2-oxoethyl]-5,6,7,8-tetrahydroimidazo[1,2-a]pyrazin-3-yl}methyl)-13-{4-[(3R)-2,6-dioxopiperidin-3-yl]anilino}tridecanamide"
